order_id,customer_name,customer_dob,customer_gender,order_date,order_cost,store_location
1858,Jack Thomas,1988/04/08,FEMALE,2020/03/19,111.88,Suburbs
#6584,Anna Taylor,1985/02/15,F,2020-12-01,182.12,Downtown
10792,Jack Doe,1984/02/25,FEMALE,2020-03-30,136.76,ShoppingMall
1348,Philip Black,1991/05/24,M,2020/03/16,75.26,AirportStore
4390,John Ross,2004/07/04,M,2022/12/02,81.16,Downtown
#3974,Robert Hughes,1981-09-30,MALE,2021/11/21,177.94,AirportStore
7352,John Wilson,1996-04-18,MALE,2020/01/27,199.53,AirportStore
#9717,Derek Kim,1992-03-12,M,2020-12-29,198.47,AirportStore
7203,Jane Doe,1976/01/17,F,2020/02/13,161.79,Suburbs
8116,John Davis,1997-09-14,MALE,2023-12-19,25.75,Downtown
9779,Jack Green,2001/02/20,FEMALE,2021/10/22,191.60,Downtown
10202,Philip Clark,1971-01-25,M,2020-05-11,80.70,ShoppingMall
#2285,Monica Hall,1987/05/16,F,2023/09/05,157.47,AirportStore
#7038,Julia Young,1993-03-13,F,2023/04/21,92.11,ShoppingMall
#8451,Jason Ray,2003/02/15,MALE,2022-05-28,40.13,Suburbs
#9468,Michelle Hall,1974/09/13,F,2023/03/13,27.64,OutletCenter
#4986,Renan Young,1981/11/13,FEMALE,2022-10-22,191.66,OutletCenter
#4269,Peter Lee,1995-04-30,FEMALE,2023/05/14,25.91,OutletCenter
#9810,Renan Martins,1993-12-18,M,2022/10/05,157.62,Suburbs
10470,Michelle Ross,1980-01-21,FEMALE,2023/05/16,75.24,OutletCenter
#3005,Jason Schmidt,1990/09/02,M,2021/10/08,51.15,AirportStore
#6621,Clara Brown,1987-02-25,M,2022/02/07,167.58,ShoppingMall
10160,Jason Johnson,1983-04-11,MALE,2022/10/26,20.43,AirportStore
1846,Sarah Davis,1990/11/19,F,2023/08/17,60.52,AirportStore
10221,Diana Nguyen,1990/06/07,MALE,2020-04-09,33.43,AirportStore
#9134,Robert Green,1971/12/02,F,2021/10/29,179.39,ShoppingMall
#10793,Samantha Hall,1996/12/23,FEMALE,2021/10/18,53.24,Downtown
5152,Anna Carter,1986/01/16,FEMALE,2023-05-28,104.39,ShoppingMall
#4248,Joshua Hall,1977-06-11,MALE,2022/10/20,52.59,OutletCenter
#2510,Samantha Scott,1994/06/12,F,2022-12-02,130.74,AirportStore
