order_id,customer_name,customer_dob,customer_gender,order_date,order_cost,store_location
3941,michelle doe,1977-01-06,FEMALE,2022/08/22,70.80,AirportStore
10614,marcia johnson,1980-04-19,FEMALE,2021-05-06,163.61,AirportStore
#10106,bRuNa taYloR,1990-09-11,FEMALE,2020-08-24,160.77,OutletCenter
1012,jASoN KIM,1991-03-02,M,2022-08-26,91.96,Downtown
8740,JOHN SCHMIDT,1984-02-24,M,2021-08-26,62.85,AirportStore
4169,CLARA JOHNSON,1986-12-29,FEMALE,2023/10/24,138.13,Suburbs
6930,aNna BAkER,2003/04/04,MALE,2022/09/05,68.24,Suburbs
#1413,monica hughes,1977-05-21,M,2020/04/22,180.55,Suburbs
5603,lisa hall,1992/08/08,MALE,2020-06-30,32.75,ShoppingMall
#10418,ROBERT SMITH,1988-05-22,M,2020-03-19,116.43,ShoppingMall
#7014,AMaNdA DoE,1987/06/22,FEMALE,2023-05-25,195.62,OutletCenter
9102,BRUNa pEreZ,1972/09/01,F,2021/01/21,35.37,Downtown
#8104,MIKE schmidt,1994/04/05,FEMALE,2022-10-03,39.14,OutletCenter
6331,karen pereira,1974-06-09,MALE,2023/05/16,187.97,OutletCenter
#5084,MICHELLE DOE,1994/05/28,F,2020/12/27,162.50,AirportStore
5857,ANNA SMITH,1980/07/31,FEMALE,2020/10/26,123.87,Downtown
#5757,EMILY PEREZ,2000/06/13,F,2020/12/14,31.49,Downtown
6538,jason brown,1971-10-17,M,2023-12-16,45.95,AirportStore
6303,jerry pereira,1989/04/13,F,2023/07/11,170.23,Suburbs
#6344,jOShUA DAViS,1974-06-13,M,2020-11-29,73.51,ShoppingMall
#1771,marcia martins,1983/11/18,F,2021-05-09,68.18,AirportStore
#8821,JANE DOE,1995/04/03,MALE,2022/10/22,22.24,OutletCenter
3466,MicHeLLE RaY,2000/06/15,M,2022/03/17,140.24,AirportStore
9301,ARtHUr BlAcK,1984-08-14,M,2022-01-19,57.90,OutletCenter
9633,daVid rOChA,1981-10-14,M,2023-05-30,99.07,Suburbs
2047,anna ray,1991/06/01,M,2021-12-10,190.33,Downtown
#9724,Emily hALL,1989-02-05,MALE,2023-02-12,72.80,Downtown
#9581,MARCIA JOHNSON,1994/02/02,M,2020-09-19,21.68,Downtown
#3403,michelle hughes,1997/03/07,FEMALE,2022-08-02,148.56,ShoppingMall
#1184,PhILiP BlAcK,1975-05-26,MALE,2021/01/25,119.99,OutletCenter
4389,SARah BakER,1992/12/29,FEMALE,2022/08/13,167.86,Suburbs
#8386,julia doe,1975-12-21,MALE,2023-05-20,26.25,Downtown
#10038,MaRcIA doe,1997/12/26,MALE,2022-10-10,84.94,AirportStore
10927,michelle martins,1976/09/05,F,2022/06/29,22.47,ShoppingMall
#10338,JERRY PRICE,1983/05/10,M,2023/05/12,95.82,Suburbs
3982,julia doe,2002-11-05,MALE,2022-09-11,140.52,ShoppingMall
#3023,diana thomas,1976-01-17,M,2020/06/26,142.39,Suburbs
#1780,JANE DOE,1979/03/01,F,2021-11-21,49.26,Downtown
8421,michelle price,1982-11-18,FEMALE,2020-09-04,165.74,Downtown
#8658,mICHElLE JoHNSOn,1989/04/08,FEMALE,2022-08-16,68.62,AirportStore
#9910,monIcA LEe,1974/11/14,FEMALE,2021/01/16,149.77,ShoppingMall
8418,ROBERT PEREZ,1986/09/25,FEMALE,2023-02-06,14.64,Downtown
#3616,clara hughes,1976-12-13,MALE,2023/09/03,26.07,Suburbs
#3586,JOHN SMITH,1997-09-22,MALE,2020/11/10,84.97,Suburbs
1230,samANTHA BRoWN,1999-07-16,MALE,2022-03-22,169.87,AirportStore
#3048,anNA maRTiNs,1989-12-07,MALE,2020-03-16,187.89,Suburbs
#8428,ANNA CARTER,1997-10-27,FEMALE,2023-10-25,120.36,Suburbs
4313,mike johnson,1970/11/10,M,2023-03-23,148.44,Downtown
#8830,john clark,1975-10-26,M,2022/01/29,115.38,Suburbs
#4360,ARTHUR DOE,1981/11/08,MALE,2021-06-19,51.02,OutletCenter
3954,jack price,2002-04-13,MALE,2020/08/05,84.36,Suburbs
#7818,JasoN Ray,2000/12/08,FEMALE,2021-07-12,181.30,AirportStore
1251,SARAH TAYLOR,2004/05/22,MALE,2021-12-14,98.64,ShoppingMall
10109,JoShUa hall,2001/11/05,F,2023/04/12,125.73,ShoppingMall
#1422,jerry wilson,1990-03-20,MALE,2023/08/27,118.44,AirportStore
#4025,karEn peREz,1992/08/29,MALE,2021-03-27,197.44,OutletCenter
#2575,janE JoHnSOn,2001/02/10,F,2022-04-17,160.07,OutletCenter
#1765,DEREK PRICE,1976-01-16,MALE,2023-05-12,54.44,ShoppingMall
3681,emily young,1976/11/15,MALE,2022/01/28,177.56,OutletCenter
#7647,amanDA dAVIS,1982/08/23,MALE,2021/10/19,105.92,Suburbs
#1747,JASON SMITH,1972/11/29,M,2021/02/20,161.30,ShoppingMall
#3945,bruna wilson,1984-07-17,M,2022-07-19,58.38,AirportStore
7474,clara kim,1988/09/25,M,2023-05-22,37.17,Suburbs
#2097,ARTHUR BAKER,1979/06/08,MALE,2023-10-12,171.84,OutletCenter
1278,arthur white,2003/06/20,MALE,2020-09-02,58.38,AirportStore
#5240,robert baker,1973/02/23,MALE,2023/12/23,151.16,OutletCenter
10889,arthur nguyen,1991-04-14,FEMALE,2021-04-16,30.46,OutletCenter
#2549,PETER DOE,1973/03/18,M,2023/06/25,45.58,ShoppingMall
#5665,dereK kim,1979/09/05,F,2023-05-11,188.21,Downtown
8498,JASON HUGHES,1992/06/28,M,2020/10/17,92.67,ShoppingMall
6488,melissa green,1973-08-07,F,2020-12-23,186.89,ShoppingMall
8322,JERRY GREEN,1981-10-05,FEMALE,2023-10-13,65.54,Downtown
4787,CLARA wILSOn,1982/03/17,MALE,2023-06-30,118.28,Suburbs
4210,dereK HALl,1972/12/15,F,2023-06-02,131.02,AirportStore
#3440,rEnan ScHmidT,1987-03-06,F,2020-01-28,14.71,Suburbs
#10173,jason clark,1999/06/01,FEMALE,2020/08/06,179.19,Suburbs
7096,SaraH WilSOn,1980-08-26,FEMALE,2020/11/23,67.15,ShoppingMall
#10061,lisa hall,1974-08-22,MALE,2022/06/02,124.94,OutletCenter
#7666,peter taylor,1970/09/02,M,2022/08/24,140.76,AirportStore
#1406,SArAh CarTer,1974-06-29,MALE,2023/07/11,142.77,OutletCenter
1534,MICHELLE ROCHA,1987-01-03,MALE,2020/03/15,199.59,OutletCenter
6923,DiaNA RosS,1992/06/07,M,2021-12-15,110.89,ShoppingMall
#9086,ARThUr hugHES,2001/04/27,F,2021-06-11,146.54,ShoppingMall
8936,SAMaNtha bAKeR,1996-02-25,MALE,2022-02-14,84.55,ShoppingMall
#2502,clara brown,1998-03-07,F,2021-03-04,138.26,ShoppingMall
9133,MIcheLLe rOSs,2005/08/10,MALE,2022/09/25,109.52,OutletCenter
8114,jAnE scHmidT,1997-10-06,M,2022-11-21,103.07,ShoppingMall
10768,DEReK thOMAs,2001/12/06,M,2021/07/02,15.63,Downtown
#5235,JANE HUGHES,2000/11/18,MALE,2021/03/19,48.31,Suburbs
#8695,peter brown,1984-07-19,M,2021-06-21,29.97,AirportStore
1844,JacK CaRTeR,1974-03-05,F,2020-07-25,143.98,Downtown
7192,JANE MARTINS,1995/10/04,M,2023/02/26,164.15,AirportStore
3173,jOhN yOUng,1993-10-07,F,2021/03/19,158.90,OutletCenter
2265,MArcIA YOUNG,2004-05-21,M,2023-06-12,127.31,Downtown
#1399,ANNA whItE,1980/04/12,F,2022-05-26,104.40,Suburbs
#10302,DIANA KIM,1987/01/17,F,2022/05/03,197.81,ShoppingMall
