order_id,customer_name,customer_dob,customer_gender,order_date,order_cost
1858,jack thomas,1981-12-16,FEMALE,2022/02/15,74.75
#1851,mIKE yOuNG,1984/02/25,FEMALE,2020-03-30,136.76
#3069,sarAh caRtEr,2004/07/04,M,2022/12/02,81.16
#1522,LISA ROCHA,1991/11/04,F,2021/11/16,115.30
2201,marcia black,1970-09-25,FEMALE,2023/07/10,12.44
#6766,MarCiA GreeN,1970-06-16,M,2021-01-30,58.71
6768,philip baker,1970-01-06,FEMALE,2022/11/11,144.34
2359,rEnAn doE,2003/09/06,M,2021-12-14,131.43
3685,JaCK NguYen,1986-07-13,MALE,2022-11-25,129.63
10656,PhIlip smITh,1993-03-08,MALE,2022-10-21,113.64
#7046,renan black,1974/03/02,F,2021/02/20,60.26
#1705,PETER HALL,2004-01-03,F,2021-07-03,26.17
#6195,MIcheLle grEEN,2005/08/10,MALE,2023-11-25,141.34
6909,jason hughes,1984/02/26,F,2022/07/08,164.18
#4154,MARCIA MARTINS,1988/08/08,MALE,2020/12/24,80.02
#5849,jOsHua HalL,1999/01/06,MALE,2022/06/18,57.20
8463,MICHELLE SMITH,1975-07-14,M,2023/09/14,149.41
#8821,ROBERT GREEN,1984/08/13,F,2023-05-09,98.05
10854,JERRY BLACK,1984/05/20,F,2023-11-10,175.60
#5671,philip clark,1971-12-13,M,2023-10-11,47.67
#5415,MoniCa PEreZ,1993-05-11,M,2022/04/12,31.08
10340,monica baker,1993/03/16,F,2022-10-07,46.95
#4468,JANE PRICE,1973/04/18,FEMALE,2020/01/23,134.68
#9961,jaNe PriCE,2003/08/02,F,2022-08-12,88.71
9365,MARCIA GREEN,1987-07-02,M,2020/03/28,36.45
#2751,emily ray,1994-10-02,M,2022/12/02,64.86
4496,JaNE dAvIs,1976-04-22,F,2020/06/25,16.14
#3399,SAMANTHA CARTER,1999/08/31,FEMALE,2020-04-25,31.73
#2480,amanda smith,1989-09-18,F,2021/04/26,74.88
#3344,amanda doe,1984/09/07,MALE,2021-04-13,21.01
#2059,DIANA KIM,1975-08-12,MALE,2022/05/11,80.42
3135,renAn SmItH,1997/05/13,M,2020-08-02,85.82
#2157,peter perez,1989/03/04,MALE,2023-08-31,83.58
#5266,MOnICA PeREiRa,1986-03-15,MALE,2022-04-21,128.00
#9511,AMANDA GREEN,1984/10/17,MALE,2022-06-19,11.02
#2856,monica ray,1986-02-04,F,2022-03-04,88.92
#4932,ARTHUR CARTER,1973-10-05,MALE,2022-05-12,157.70
7392,JACK SCHMIDT,1975/06/23,MALE,2023-03-10,131.24
#9907,renan kim,1996/10/19,FEMALE,2023-09-25,68.54
4277,PETER WHITE,1988-12-17,F,2020-12-14,114.48
2028,david wilson,1995/07/17,MALE,2020-06-01,27.04
1701,JERRY DOE,2000-04-15,F,2023-08-11,195.85
1832,arthur perez,1997/08/07,MALE,2023-09-17,132.16
7631,AMANDA HUGHES,1973-12-01,F,2020-11-07,158.59
10564,jason hall,2001/08/29,MALE,2022-04-21,111.37
#10007,BRuNa Doe,2003/10/10,MALE,2023/08/19,168.36
10219,PETER BROWN,1986-10-26,FEMALE,2022/10/02,153.33
#3904,AMANDA SCOTT,1980/05/21,F,2022-11-03,155.07
#8998,renan baKER,2002-09-10,F,2022-01-25,36.66
3741,LISA MARTINS,2004-08-08,F,2022-09-22,99.41
5534,aMAnda hAll,2001-04-11,MALE,2022/06/27,12.75
1623,JASON YOUNG,2001/06/01,MALE,2023-09-25,16.21
3076,peTeR rocHa,1979-03-27,FEMALE,2023-02-17,195.59
1165,karen carter,2001/08/04,FEMALE,2021-01-20,76.33
6392,LISA WHITE,1987-10-05,MALE,2022/11/09,29.48
#5214,jerry davis,1977-11-05,FEMALE,2020/05/13,165.44
8349,SAMANTHA NGUYEN,1988-08-07,FEMALE,2021/09/04,81.52
6445,jason johnson,1997-03-03,FEMALE,2020/02/25,84.45
#6266,clara wilson,1984/03/06,F,2021/10/16,78.53
#9756,MELISSA WHITE,1979/05/01,F,2023/12/05,116.04
#6115,peter ray,2005/05/22,M,2023/07/06,98.02
5419,LISA KIM,1999/03/20,M,2020/07/20,82.73
#10238,DIANA THOMAS,1977/03/23,M,2023/10/18,125.41
#5761,kArEn pRIcE,1976/04/08,M,2020-11-12,96.29
#4802,SaRaH WIlSoN,1974-07-06,FEMALE,2021-12-12,25.88
8567,ANNa DAvIs,2004-04-23,MALE,2022-03-29,126.94
6095,PHILip PEREZ,1992-05-14,FEMALE,2021-09-11,143.15
9174,DiAna grEEN,1978-07-13,FEMALE,2022/04/19,195.65
#2164,SamAnTHa yOung,1975/03/22,M,2021/12/19,171.72
4782,jerry lee,1995-10-04,FEMALE,2020/01/19,81.10
8377,MARCIA TAYLOR,1980-10-11,MALE,2021/02/27,153.60
#9986,lisa martins,1986/09/07,F,2021/06/13,168.82
7480,AMANDA BAKER,2001-09-15,M,2021-04-06,39.41
10816,sAmanTHA mArTiNS,1980-11-08,F,2023/08/12,158.81
9964,janE ROss,1974/02/20,F,2022/05/04,188.73
8493,MELISSA SMITH,1980-09-23,M,2022-05-26,29.56
#9100,bRUNA SCott,1998-08-17,MALE,2022-03-14,108.11
#4499,Jane hUghES,1976-11-05,MALE,2023-07-22,191.84
2743,BrUna SMIth,1981/01/12,MALE,2021/02/19,63.52
8887,derek white,1992/11/06,F,2022/07/25,109.60
#3178,DereK CaRTER,1997-07-22,MALE,2021/05/21,35.99
10540,MARCIA PEREZ,1970-03-31,F,2023-09-30,56.91
9167,miCheLlE wIlSOn,1998/09/03,M,2020-08-12,104.56
1935,JAcK bROWn,1971-01-13,FEMALE,2022-11-04,100.63
#10055,jeRRy BrOwN,1976/05/26,F,2023-02-12,57.33
#5019,jack schmidt,2004/05/28,FEMALE,2021-05-10,10.79
5213,JASON PEREIRA,1980/09/21,FEMALE,2020/05/09,24.98
9522,diana clark,1990-11-27,M,2022-09-21,24.03
#1904,emily pereira,1987-07-13,FEMALE,2023-01-30,192.78
#3502,JerRy SChMidt,1985-03-10,F,2022-08-09,158.79
9800,julIA PerEZ,1991-02-20,M,2022-03-20,142.88
6071,jULiA ThoMaS,1982-04-19,F,2020-06-23,126.33
10570,michelle taylor,2000/10/19,MALE,2020-06-10,183.87
#10289,renan hall,1986/08/22,FEMALE,2021-06-20,65.85
#9872,SAMANTHA JOHNSON,1979-10-10,MALE,2020/09/26,45.05
2326,JASON ROCHA,1988/10/01,F,2020/01/16,105.71
#1127,SAMANTHA CARTER,1983/04/15,MALE,2020-04-24,195.91
#8244,JOHN SCHMIDT,1986/05/05,F,2022-05-16,46.75
#8533,JOHN ROCHa,1991/06/30,F,2023/11/21,175.82
#2540,bRunA NGUyEn,1970/11/06,F,2021/10/04,159.05
9801,LISA KIM,2005-12-31,F,2023/04/12,143.36
#2240,JAson HugHEs,1975/05/28,MALE,2020-07-31,47.55
#4596,anna lee,1982-11-02,FEMALE,2020/01/11,116.27
#8129,john youNG,1974/02/25,FEMALE,2022-01-13,181.23
#1882,PHiliP bRoWn,1982/11/21,M,2020-03-01,112.68
#6857,JOsHUa johnSON,1995/12/01,M,2021-05-18,42.11
5430,MELISSA WHITE,1985/03/02,FEMALE,2021/02/08,35.54
6991,jASOn yOuNg,1982-10-24,MALE,2023/11/08,155.13
6699,jerry clark,1991-12-02,FEMALE,2022-02-15,111.14
5773,jack lee,1975-04-15,F,2022/10/08,37.44
#6919,DeReK mArTINS,1993-06-18,F,2020-04-04,198.75
#9967,MONICA DAVIS,1985-03-04,F,2022/09/06,75.54
#6273,MIKE CARTER,1993-04-06,MALE,2023-06-05,156.49
#9781,JoHn grEEN,1972-12-08,FEMALE,2022-03-08,49.76
2346,melissa smith,1991/01/05,M,2021-09-30,35.21
#8960,emily scott,1985-09-24,M,2021/10/31,35.33
#2679,monica thomas,2003-05-15,M,2022/11/28,112.18
6195,CLARA BLACK,1994/11/14,FEMALE,2021/01/12,87.19
7157,karen kim,2004/05/01,M,2021/04/07,73.85
#7181,JOSHUA YOUNG,1979-01-31,F,2023/12/19,119.24
#7998,ROBERT THOMAS,1990/02/08,FEMALE,2020/01/07,18.85
2530,karen taylor,1978/04/06,F,2023-09-11,152.00
#3494,jason pereira,1993-02-17,M,2022/10/07,182.78
#9794,sarah schmidt,1976/04/18,MALE,2023-03-30,28.35
4658,ARTHUR MARTINS,2004-08-03,F,2022-02-16,182.55
6248,EMILY KIM,1970-07-11,F,2021/12/02,147.33
6835,philip scott,1981-12-31,FEMALE,2022/05/17,19.46
5148,anna young,1986-11-29,F,2020/12/15,68.76
7774,karEN lEE,2005/12/01,FEMALE,2020-11-01,22.81
#3052,diana nguyen,1977-03-11,F,2023-01-02,12.88
#9467,ANNA HUGHES,1987-09-04,F,2022-10-13,170.13
2216,DEREK CLARK,2001-08-17,M,2022/05/03,73.85
#1615,jerRy doE,1984/03/06,F,2022/07/14,114.77
#3068,PHILIP NGUYEN,1977/10/25,FEMALE,2022/09/02,130.48
3701,derek thomas,1996/06/05,M,2022/12/28,159.49
7108,renan hall,1994/06/15,MALE,2023/09/10,152.53
#10233,MELISSA SCOTT,2003-01-02,MALE,2020/07/18,144.74
2340,MiCheLle ThOmAS,2003/03/20,FEMALE,2022/12/17,40.89
#3203,JOSHUA WHITE,2001/02/25,FEMALE,2020/01/06,128.01
#9025,DaViD ray,2003-02-14,MALE,2023-09-24,29.29
9231,jOsHUa ScOTt,1973/07/17,FEMALE,2023-08-11,196.33
#7149,jacK WilsoN,1989/02/20,M,2022-09-06,150.11
8874,dianA tayLor,1973/03/01,FEMALE,2020-04-14,138.29
2812,DIANa WilSOn,1989-10-09,FEMALE,2020-06-03,180.94
1570,LiSA bRowN,1974-10-30,MALE,2022/03/21,126.40
#4262,SARAH DAVIS,1997-06-02,MALE,2020-06-02,130.82
1685,marcia nguyen,1976/09/24,MALE,2022/01/31,122.88
#10599,MONICA WHITE,1990/08/25,M,2021/10/05,20.96
7099,JOShUA ROss,1996-07-03,M,2021/11/27,104.37
4693,bruna rocha,1991-03-24,MALE,2023-06-17,135.83
#4709,JANE BLACK,1980-04-28,M,2020/06/01,12.37
9841,lisa baker,1976/03/31,FEMALE,2021/11/03,56.60
1016,joshua baker,1986-10-27,M,2020/04/01,171.35
#3360,JOSHUA DAVIS,1989/02/04,MALE,2020-12-04,117.01
4735,MELissA ThOmAs,1988-06-11,M,2023-10-25,190.05
5030,DEREK MARTINS,1970/06/07,FEMALE,2020/05/04,174.38
#10948,LIsA joHnSon,2005-07-20,F,2022-01-30,174.69
4600,mike johnson,1985-12-02,F,2021/02/27,148.40
#10073,lisa black,2002-03-10,M,2020/08/28,154.50
4623,LIsa bAker,1999-09-08,MALE,2021-04-20,174.51
#8596,jerry wilson,1974-04-05,MALE,2022/12/11,91.92
#4051,DEREK TAYLOR,1992-01-04,FEMALE,2022-11-19,48.82
3134,DiANA pRiCE,1981-11-29,F,2022/07/07,101.36
#9908,joHN wHiTE,1980-12-19,FEMALE,2022-10-27,160.52
7721,JASON JOHNSON,1995/09/04,M,2020-07-20,179.99
#6239,MIKE BLACK,2005/08/19,M,2021/02/26,110.55
2469,MIKE PEREZ,1994/05/30,M,2020/05/17,13.93
#1969,EMILY ROSS,1995/03/06,FEMALE,2021-05-06,38.39
10680,mIKE bLacK,1970-10-28,FEMALE,2021-02-22,38.77
#2259,SAMANTHA BAKER,1992-07-20,M,2021/03/20,46.79
9820,LISA NGUYEN,1972-02-28,FEMALE,2022/01/29,173.21
#9157,AnNa PErez,2004/03/17,FEMALE,2020-07-21,81.89
#6041,MARCIA YOUNG,2001-01-30,MALE,2023/07/30,69.34
9967,JOHN HUGHES,1971-09-05,FEMALE,2023/12/23,109.61
#7022,DAviD tAyLor,1970/05/11,M,2022-10-11,21.98
3305,EmiLy scOtt,1978-04-16,M,2022-05-16,17.50
7869,robeRT ROSS,1984-04-29,FEMALE,2022/04/01,78.17
6965,mARCIA pEREz,1994/02/20,MALE,2020-06-29,145.29
10074,samANtHa DaViS,1988-05-09,FEMALE,2022/05/16,29.69
8324,AMANDA RAY,1983/08/22,MALE,2022-10-09,177.65
#9480,AMANDA BAKER,1971-03-29,MALE,2020/06/25,86.08
4534,emily davis,1984-06-05,M,2021/02/04,132.04
#4309,BRUNA HALL,1976-12-06,M,2020-02-14,163.62
2302,JANE DAVIS,1998/05/18,F,2021/03/30,113.07
9926,JOHN HUGHES,1993/01/16,F,2023-05-29,63.37
1613,JUlia KIM,1999/09/30,M,2020-06-15,137.98
#4007,RENAN DOE,1992-03-28,MALE,2021-07-02,187.91
1313,saMaNTha RocHa,1985/01/02,F,2022/03/15,171.93
#1732,JOHn CaRtEr,1975-02-14,FEMALE,2020/08/24,12.94
4928,marcia baker,1984/12/29,F,2022/12/16,143.14
7902,mARcIA raY,1996/02/02,MALE,2023-04-28,197.41
#4344,DerEK prIcE,1988-08-09,M,2020-12-13,43.77
#5042,philip scott,1996/09/04,FEMALE,2021/01/27,114.64
#9078,jason green,2004-02-25,MALE,2022/08/10,38.38
#10475,robert pereira,1991/01/07,MALE,2022/07/30,17.48
#1596,JULIA JOHNSON,2003/09/24,F,2023/12/24,87.79
#5845,julia doe,2002/01/09,MALE,2020-10-16,73.75
7778,lisa ray,1992-04-30,F,2023/10/11,176.86
#3069,arthur johnson,1999/08/21,MALE,2020-12-30,193.04
1702,PHILIP YOUNG,1979-07-13,F,2022/01/27,37.65
#2327,mike brown,1974/01/01,F,2023/12/19,26.65
7951,jAnE nguYen,1973-04-01,M,2021/02/23,77.21
6278,jOshUa pEreZ,1978/02/05,FEMALE,2021/08/04,132.87
4867,MONICA hAlL,1975-03-11,M,2020-12-26,74.93
2972,samantha davis,1999-04-24,M,2021/08/15,64.96
#8961,robert pereira,1970-02-15,FEMALE,2021-09-27,13.07
#10661,arthur price,1995/09/25,M,2020/03/18,193.19
9165,john hall,2002/02/10,F,2023/04/22,169.31
#2217,samantha white,1972-09-10,FEMALE,2021/01/24,12.52
6542,jAsOn rAY,1976/07/19,M,2020/05/25,152.78
10486,JOSHUA PRICE,2002/07/06,M,2022-12-10,101.00
6942,sAManTHA dOE,1988-07-04,FEMALE,2020-06-24,69.97
#2222,rOberT HuGHEs,1979-07-21,F,2023-06-30,76.46
10349,PETER DOE,1983-02-14,M,2021-06-11,196.50
#10159,SAmAntHA YOunG,1998-12-13,F,2021/03/02,30.01
#2597,JULIA HUGHES,1994/03/13,M,2023-03-16,17.61
#9277,JULIA DOE,1989-08-25,M,2021/05/06,136.09
2722,SAmanTha bLAck,1975/07/28,FEMALE,2020/06/18,62.92
9165,ROBERT SCHMIDT,1978/03/30,F,2022-06-28,42.57
#4898,diana scott,1979/09/06,MALE,2020/08/23,51.22
5164,JuLia brOWn,2003/06/03,F,2021/09/12,149.82
7259,LiSa BlACK,1985-04-23,F,2023/05/01,37.98
#3435,amaNDA cLark,1971-05-17,M,2021/05/20,72.23
#9313,philiP nguYEN,1993/07/02,MALE,2021/12/27,192.37
#7683,robert green,1971/01/09,F,2021/09/09,84.04
10864,JAck clARK,2004-06-07,F,2023/05/07,98.66
8329,PHiLIP white,1999/05/02,FEMALE,2023/12/02,140.43
#8319,jane kim,1992/10/11,M,2020-04-05,119.62
#6339,marCiA SCHmIDT,1971/04/06,MALE,2023-06-18,62.54
#2748,bruna ross,2001-12-24,FEMALE,2020/11/07,108.80
#5208,jerRY DOE,2000-04-24,M,2021-08-10,36.06
#5189,BRUNA TAYLOR,2001-12-11,F,2021-12-23,31.37
#2605,LISA CLARK,1993-11-23,MALE,2020/02/16,129.42
10776,MIKE WILSON,1996-09-20,M,2023-12-15,90.39
#7024,SAMANTHA RAY,2000-01-03,F,2020-10-26,82.81
10122,renan price,1987-01-16,M,2022/07/24,162.37
#7950,MIKE WILSON,1986-03-14,FEMALE,2023/08/16,22.28
