order_id,customer_name,customer_dob,customer_gender,order_date,order_cost,store_location
7673,Bruna Brown,1995/09/14,F,2020-04-04,118.02,OutletCenter
#3671,Jerry Ross,2003/07/01,M,2023/03/06,161.19,OutletCenter
#2889,Renan Lee,2002-10-29,MALE,2023-04-28,163.39,AirportStore
6971,Amanda Scott,2005-09-27,M,2020/12/06,128.40,Suburbs
1994,Jane Wilson,1972/10/07,MALE,2022-09-16,183.84,ShoppingMall
#9954,John Baker,1991/11/19,FEMALE,2022/06/20,109.68,Downtown
10163,Mike Davis,1995/07/18,MALE,2022-07-05,93.08,ShoppingMall
#2757,Clara Hall,1995-07-08,F,2021/09/08,119.81,OutletCenter
#1950,Arthur Davis,2005/03/17,MALE,2021/02/16,114.04,AirportStore
#1614,Derek Brown,1976/04/04,MALE,2020/04/04,105.30,Suburbs
#3288,Mike Baker,1973/03/23,M,2020/01/30,152.63,Suburbs
7924,Mike Carter,1982/02/24,M,2022-09-30,196.48,Suburbs
#3792,Jerry Hall,1983-10-29,MALE,2021-08-03,102.47,ShoppingMall
#2482,Jason Price,1992/11/14,FEMALE,2022-11-15,98.71,OutletCenter
10578,Lisa Black,1973/10/31,F,2022-05-17,130.38,AirportStore
1904,Jerry Scott,1970/08/01,FEMALE,2021/06/16,56.52,ShoppingMall
3641,Peter Martins,1974/02/25,MALE,2023/03/28,196.09,AirportStore
10889,Robert Rocha,1983-12-10,F,2021-03-28,178.18,OutletCenter
#10694,Peter Young,1981-04-19,M,2021-01-18,54.99,OutletCenter
7577,Joshua Carter,2001-03-12,F,2021/11/16,33.70,OutletCenter
#5293,Marcia Wilson,1971-06-28,FEMALE,2023/01/14,70.70,ShoppingMall
7325,Derek Hall,1980-08-06,MALE,2020/12/17,40.76,Suburbs
10314,Jason Smith,1977-12-19,F,2021/07/24,122.28,Suburbs
4289,Monica White,1974-10-14,FEMALE,2023/08/23,48.92,Suburbs
1054,Derek Davis,1996-09-29,MALE,2022-09-26,132.49,AirportStore
#6808,Melissa Ross,1980-05-20,M,2022/02/16,95.08,AirportStore
#8369,Joshua Hall,1980/01/24,MALE,2021/12/24,14.12,OutletCenter
#1684,Derek White,2003-05-08,FEMALE,2022/06/03,31.68,ShoppingMall
6245,Monica Doe,2005/08/06,M,2020-07-11,185.20,AirportStore
6356,Amanda Brown,1977/02/25,F,2022/10/30,13.26,ShoppingMall
#8223,Julia Green,1987-04-24,F,2023-05-28,77.57,AirportStore
#3368,Bruna Smith,1991-10-23,MALE,2023/04/22,103.11,Suburbs
3364,Anna Ray,2005-05-03,M,2023-05-28,110.42,AirportStore
#7526,Karen Kim,1974/10/26,M,2022/09/17,182.36,Suburbs
#5476,Philip Ross,2002-04-21,M,2023-12-06,27.21,ShoppingMall
8130,Marcia Hughes,1973-04-18,FEMALE,2020-12-17,195.79,AirportStore
#7049,John Wilson,1995-12-27,M,2020/06/10,121.37,Downtown
#5927,Melissa Taylor,1974-04-09,M,2022-02-07,193.60,AirportStore
#5085,Michelle Ray,1972-10-08,MALE,2021-11-27,62.51,AirportStore
4761,John Thomas,1978-09-27,FEMALE,2021/06/01,26.00,ShoppingMall
2437,Julia Wilson,1975-06-27,MALE,2023/10/01,103.88,Downtown
8682,Jason Lee,1980/06/04,M,2023-02-11,49.79,Suburbs
#1567,Jack Ray,1990/11/12,F,2023/02/07,192.16,ShoppingMall
#1862,Mike Ross,1979/01/15,FEMALE,2020/08/28,164.71,Suburbs
#7444,Emily Clark,1975-02-15,FEMALE,2021/03/12,197.19,Downtown
10115,Jason Green,1993/03/27,F,2023/07/02,70.64,OutletCenter
2239,Jerry Perez,1985/12/21,F,2021-01-19,190.41,Downtown
2939,Renan White,1984-03-10,MALE,2022-09-24,176.17,ShoppingMall
5185,Renan Clark,1987-06-28,F,2020-09-09,174.49,Suburbs
#4929,Melissa Davis,1993/10/02,FEMALE,2023-12-10,19.45,Suburbs
#10963,Clara Scott,1984/08/08,MALE,2020-10-16,21.49,AirportStore
3285,Monica Lee,2002-08-30,FEMALE,2022-08-30,84.86,Suburbs
#8556,Peter Johnson,1990/02/04,F,2020/10/02,140.94,Downtown
3331,Julia Martins,1983-05-23,FEMALE,2021/08/01,80.71,Downtown
#4216,Sarah Clark,1987-06-28,MALE,2023/04/04,180.94,AirportStore
#3332,Marcia Hall,2000/08/12,MALE,2023-04-11,183.83,AirportStore
#9056,Monica Doe,1974-01-01,M,2022/08/02,96.27,OutletCenter
#8048,John Brown,1984-02-18,MALE,2023-07-11,150.22,Suburbs
#4431,Derek Green,1973-08-24,FEMALE,2020-05-01,170.40,ShoppingMall
4804,Robert Johnson,1983-05-15,MALE,2023/04/07,116.44,OutletCenter
#8417,Renan Clark,1989/04/25,M,2023-04-11,161.85,OutletCenter
5181,Lisa White,1973-08-23,FEMALE,2022/10/02,82.64,AirportStore
8552,Marcia Schmidt,1976-07-27,M,2022-01-10,142.14,OutletCenter
#5063,Mike White,1989/04/13,M,2022-09-22,16.30,AirportStore
3645,Lisa Black,1982/10/31,F,2020/04/21,26.09,Downtown
9686,Marcia Ross,1995/09/30,FEMALE,2023-05-20,141.91,OutletCenter
1244,Samantha Kim,2004-04-02,MALE,2021-09-02,31.57,AirportStore
#1961,Marcia Taylor,1978/11/23,F,2022-06-11,54.74,Downtown
#2003,Arthur Nguyen,1976-10-31,F,2022/10/03,84.79,OutletCenter
3453,Joshua Martins,2001/06/24,M,2023-10-04,34.91,ShoppingMall
#4789,Diana Carter,1975-06-03,FEMALE,2020-03-16,27.09,ShoppingMall
1133,Monica Pereira,1977/01/08,F,2020-11-14,15.97,AirportStore
#9550,Robert Hall,1983/04/03,MALE,2022/05/27,65.30,OutletCenter
#7659,Jason White,1980/12/24,MALE,2020-03-01,23.16,Downtown
5515,Clara Ross,1993/06/24,FEMALE,2020-10-07,17.71,AirportStore
4745,Jason Scott,1986/06/26,MALE,2022-08-26,172.08,Downtown
#9811,Jane White,1976-05-11,MALE,2022-12-08,121.90,Downtown
8983,Anna Lee,1972-09-07,FEMALE,2022/11/29,50.86,ShoppingMall
5597,Diana Rocha,2000-10-19,F,2021/10/11,91.61,AirportStore
7624,Arthur Clark,1981-07-02,FEMALE,2021/07/14,52.31,ShoppingMall
1062,Monica Green,1998/12/14,F,2020/07/30,102.57,ShoppingMall
#2953,Jane Lee,1996-05-13,F,2023-08-30,140.39,Downtown
#9486,Renan Green,1996/07/19,MALE,2022-01-30,123.77,AirportStore
#6845,Arthur Hall,1970/08/10,M,2022-02-02,66.65,Downtown
#7738,Samantha Clark,2000/08/25,F,2021-06-30,75.65,Downtown
1919,Amanda Clark,2001-03-29,M,2023-03-23,186.76,Suburbs
2304,Joshua Nguyen,1973/04/18,FEMALE,2021/03/11,70.38,ShoppingMall
#5893,Julia Green,1992/02/25,MALE,2020-12-16,199.94,Downtown
4715,Joshua Nguyen,1979-01-11,M,2022-12-04,143.51,OutletCenter
4651,Michelle Perez,1980/11/26,MALE,2020/05/24,91.53,OutletCenter
#5528,Julia Scott,1999/06/07,MALE,2021/03/12,77.75,ShoppingMall
3365,Marcia Thomas,1983-07-28,M,2022-02-25,54.86,ShoppingMall
#9884,Amanda Smith,2000-09-20,MALE,2020-05-20,183.62,OutletCenter
#5144,Karen Wilson,1981/08/10,M,2020/07/30,143.81,ShoppingMall
#2219,David Rocha,1993-05-08,FEMALE,2023/08/12,151.11,ShoppingMall
#7821,Joshua Perez,1970-07-01,FEMALE,2022-03-11,198.74,AirportStore
2372,Marcia Doe,1992-03-29,M,2022/10/09,110.31,Downtown
#5555,Anna Kim,2000/10/09,F,2021/04/13,42.54,OutletCenter
9265,Karen Hughes,1985/06/15,M,2021/12/27,154.46,AirportStore
#8209,Peter Doe,1976/07/19,MALE,2022/02/15,112.12,Downtown
#6493,Sarah Baker,1977/06/18,FEMALE,2023/05/14,156.49,Downtown
#1569,Philip Nguyen,2000-04-19,MALE,2020/10/11,66.88,AirportStore
#10333,Jason Rocha,1985-11-22,F,2020/01/15,81.68,Suburbs
#8517,Monica Baker,1999/12/29,FEMALE,2022/04/29,173.43,ShoppingMall
9809,Arthur Kim,1985/04/22,F,2021-02-17,85.18,Suburbs
#9133,Emily Carter,1993-09-19,F,2022-08-02,91.57,Suburbs
#10584,Philip Ray,1975-03-28,FEMALE,2020/05/24,24.92,Suburbs
#5550,John Lee,1978/10/10,F,2021-09-07,87.77,Suburbs
3607,Joshua Baker,2000-10-19,MALE,2023-12-13,113.29,ShoppingMall
#3185,David Pereira,1979/07/11,F,2023-10-23,191.52,Downtown
8803,Amanda Davis,1977/03/01,F,2023/04/12,137.16,Downtown
#3693,Amanda Smith,2005-01-31,FEMALE,2020/11/02,56.27,AirportStore
3485,Karen Hall,2000-12-27,MALE,2022-08-31,196.12,Downtown
9378,Peter Baker,1983/10/27,MALE,2020-01-28,151.04,AirportStore
4524,Monica Davis,2002-02-16,MALE,2020-06-24,48.50,AirportStore
#3138,Jane Clark,1977-07-30,M,2023/07/04,27.04,OutletCenter
4637,John Smith,1993/08/23,F,2022-01-08,172.48,Downtown
#9606,Emily Lee,1973-03-23,MALE,2023/09/24,44.81,AirportStore
#8855,Robert Perez,1979/10/17,FEMALE,2021/10/31,48.37,ShoppingMall
2726,Karen Brown,1970-09-12,MALE,2021-10-27,138.23,Suburbs
10264,Renan Green,1987/02/10,F,2020/10/03,97.63,OutletCenter
3614,Lisa Martins,1997-07-31,M,2023-12-05,77.90,Suburbs
#1301,Clara Ray,1986-12-27,FEMALE,2021-04-22,132.40,Suburbs
9074,Michelle Hall,1987/07/31,FEMALE,2022/02/08,80.26,OutletCenter
9950,Joshua Baker,1982-06-06,FEMALE,2023/12/01,152.33,Suburbs
10314,Karen Clark,1995/04/04,F,2022-12-09,40.41,Downtown
#10201,Amanda Black,1993/07/12,M,2020/12/20,164.90,Downtown
#8107,Emily Brown,1973-06-17,F,2023/05/08,174.69,Suburbs
#2604,Arthur Smith,1998-06-24,F,2020/08/13,51.09,AirportStore
#4756,Michelle Smith,1994-11-21,MALE,2021-06-10,138.83,AirportStore
9624,Emily Martins,1972/04/24,MALE,2023-09-13,90.42,AirportStore
#1070,Monica Kim,1973/09/07,FEMALE,2021/10/27,184.15,ShoppingMall
#10290,Philip Johnson,1978-12-16,M,2022-09-21,127.72,AirportStore
3677,Renan Taylor,1973-02-05,M,2020-08-07,127.26,OutletCenter
10285,Jerry Wilson,1993-08-31,M,2022-05-29,159.60,AirportStore
#10263,Robert Doe,1970/08/06,FEMALE,2021-12-28,31.98,AirportStore
7658,Sarah Rocha,1997/06/11,M,2020-09-28,140.12,AirportStore
7229,Peter Brown,1988-10-18,F,2020/09/07,20.15,ShoppingMall
#7190,Clara Davis,2002/07/15,M,2023/01/09,63.70,ShoppingMall
7936,Mike Rocha,1997-12-03,FEMALE,2020/10/21,59.43,Suburbs
1478,Lisa Baker,1980/02/29,F,2023-03-29,125.75,ShoppingMall
1714,Derek Scott,1977/12/02,FEMALE,2021/07/31,75.09,Suburbs
8694,Arthur Wilson,1978/12/29,M,2023/06/06,112.94,OutletCenter
#8627,Derek White,1995-05-04,M,2022-12-11,98.55,OutletCenter
1120,Derek Hughes,1980/09/11,M,2021-06-17,98.32,AirportStore
#8870,Karen Baker,1977-04-28,FEMALE,2020-12-16,113.73,OutletCenter
#4984,Jane Clark,1990-11-02,FEMALE,2020/03/11,92.26,OutletCenter
6203,Monica Baker,1996/02/14,MALE,2023-03-10,183.92,ShoppingMall
#1454,Joshua Hughes,1973-07-03,FEMALE,2023/08/27,82.65,AirportStore
#1792,Jerry Kim,1971-04-27,M,2021/04/13,198.02,AirportStore
2304,Joshua Carter,1973/09/25,M,2020/11/16,10.93,Downtown
#8223,Renan Clark,1976-09-23,M,2022/05/08,81.20,ShoppingMall
#1528,Jason Hughes,1995/01/22,M,2022-04-03,71.59,Downtown
4902,Derek Carter,1986/12/13,FEMALE,2023/06/18,51.20,ShoppingMall
#8984,Samantha Smith,1983-02-08,F,2022-01-06,60.02,Downtown
10778,Renan Black,2000/06/07,M,2023/03/26,146.81,Downtown
