order_id,customer_name,customer_dob,customer_gender,order_date,order_cost
#1376,Monica Wilson,1988/10/19,FEMALE,2022/10/18,43.73
#10028,Jerry Ray,1997-04-06,F,2021-09-17,123.75
#6097,Samantha Price,1977-06-20,MALE,2020/11/27,92.02
8654,Sarah Schmidt,1983-04-18,MALE,2020/10/31,146.41
#6226,Renan Carter,1990-01-08,MALE,2021/06/13,99.96
#9943,Arthur Davis,1986-11-19,FEMALE,2022-08-20,192.34
1749,Emily Scott,1975-10-23,FEMALE,2022/04/15,188.67
#4508,Robert Lee,1985-08-26,MALE,2020-08-28,182.68
8378,Renan Black,2005-10-18,MALE,2022-06-26,184.21
6832,Philip Schmidt,1981-08-28,FEMALE,2023-06-01,62.48
#5599,Jane Brown,1983/04/03,FEMALE,2023-07-17,38.27
6688,Jane Schmidt,1975/02/26,MALE,2022/05/31,27.58
#1306,Joshua Davis,1990/07/29,FEMALE,2022/09/01,82.25
#9643,Jack Martins,1976/11/05,M,2021-09-13,84.77
8017,Peter Smith,1992-12-19,FEMALE,2023/10/04,85.30
#4269,Peter Thomas,2003-10-14,MALE,2022/02/08,142.15
#2204,Melissa Nguyen,1980/11/20,M,2022-02-05,166.26
3442,Julia Rocha,1973-03-17,M,2022/02/05,40.80
#7020,Sarah Price,1978-11-23,FEMALE,2023-04-29,108.80
8073,Anna Doe,2001/06/14,FEMALE,2022-07-25,65.24
#3764,Robert Ross,1991/04/11,FEMALE,2022-06-22,88.39
#8048,Renan Nguyen,1970-04-17,F,2021-08-02,78.44
9818,Amanda Smith,1995-03-10,FEMALE,2020/10/23,166.97
#6385,Bruna Carter,1972/01/28,F,2021/04/12,141.31
9342,Lisa Smith,1977-01-15,M,2021-09-08,159.68
#5094,Renan Davis,1995/09/19,MALE,2020/05/04,192.03
#3600,Samantha Ross,1994-04-30,M,2020-02-27,53.11
#2159,Renan Clark,1975/01/05,FEMALE,2023/07/01,14.99
8015,Melissa Johnson,1997/06/03,F,2021-07-04,41.23
#10383,Philip Young,1984-12-25,F,2023-11-02,75.83
#7907,Michelle Smith,1980/03/09,MALE,2023/07/27,147.75
#2454,Jerry Clark,1987/04/06,F,2020/04/02,58.05
